20MICRONS,20200629,33,35,32.4,34.45,241641
21STCENMGM,20200629,11.3,11.35,11.1,11.1,3095
3IINFOTECH,20200629,2.6,2.6,2.5,2.6,6164239
3MINDIA,20200629,19103,19200,18822,19113.85,4684
3PLAND,20200629,6.7,6.7,6.4,6.4,1167
5PAISA,20200629,233,233,213.3,216.2,52100
63MOONS,20200629,78.5,79.55,75.25,76.75,12179
A2ZINFRA,20200629,6.3,6.3,5.7,5.7,1001685
AARTIDRUGS,20200629,1281,1282,1250.05,1269.6,61837
AARTIIND,20200629,944.5,948.4,921.65,924.55,248375
AARVEEDEN,20200629,11.9,12.55,11.8,12.25,14180
AARVI,20200629,28.5,28.5,28.5,28.5,51
AAVAS,20200629,1340,1379,1281,1370.25,121780
ABAN,20200629,29.2,30.3,27.95,30.3,483192
ABB,20200629,920,929,885.6,922.35,224329
ABBOTINDIA,20200629,15835,15973.95,15651.2,15727,8758
ABCAPITAL,20200629,63.95,66.6,60.15,65.75,5135361
ABFRL,20200629,129,130.95,125,127.4,2024638
ABMINTLTD,20200629,13,13,13,13,13
ABSLBANETF,20200629,213.82,229.9,205.94,215,219
ABSLNN50ET,20200629,266.96,266.96,257,257.1,105
ACC,20200629,1279.95,1293.85,1265.5,1289.2,825890
ACCELYA,20200629,923,930,917.65,920.85,8851
ACE,20200629,56.5,56.9,54.2,54.75,258349
ADANIENT,20200629,161.4,163.55,156.75,159.75,2937549
ADANIGAS,20200629,164.65,164.85,155.5,157.35,2611285
ADANIGREEN,20200629,377.7,377.7,377.7,377.7,94453
ADANIPORTS,20200629,341.35,344.05,339.1,342.65,3263757
ADANIPOWER,20200629,36.95,37.25,35.95,36.25,4370886
ADANITRANS,20200629,271.1,279.9,266.2,270.45,665484
ADFFOODS,20200629,290.05,298,285.95,288.8,14455
ADHUNIKIND,20200629,28,28.05,25.45,25.45,81149
ADORWELD,20200629,264,266.35,260.25,262.35,16174
ADROITINFO,20200629,7.35,7.65,7.15,7.55,34644
ADSL,20200629,16.6,17.4,16.1,16.2,83387
ADVANIHOTR,20200629,45.8,45.95,43.1,44.5,10406
ADVENZYMES,20200629,173.45,175,169,173.5,113314
AEGISCHEM,20200629,183.9,184.8,176.8,179.1,150933
AFFLE,20200629,1505,1508.9,1461.35,1480.45,30270
