20MICRONS,20210825,54,54.6,52.5,53.3,49927
21STCENMGM,20210825,31.1,31.1,31.1,31.1,1639
3IINFOTECH,20210825,7.7,7.7,7.7,7.7,2387295
3MINDIA,20210825,23298.85,23389.95,22678.55,22791.5,4147
3PLAND,20210825,12.4,13.25,12.4,13.25,8609
5PAISA,20210825,458.6,463.45,444,450.25,29636
63MOONS,20210825,92.7,96.9,91.45,93.1,92964
A2ZINFRA,20210825,4.1,4.35,4.1,4.35,420540
AAKASH,20210825,242.95,252.7,237.45,250.1,53974
AAREYDRUGS,20210825,39,41.1,38.05,39.95,55835
AARON,20210825,95,97.5,95,95.8,3328
AARTIDRUGS,20210825,619.05,632,617.5,629.4,200906
AARTIIND,20210825,923,929,915,917.65,566592
AARTISURF,20210825,1430.1,1463.15,1411.05,1418.95,22499
AARVEEDEN,20210825,18.5,19.25,17.9,19,20460
AARVI,20210825,53.2,55.5,51.9,54.9,46980
AAVAS,20210825,2424.4,2454,2385,2399.6,74837
ABAN,20210825,41.25,41.6,39.05,41.25,137903
ABB,20210825,1701.9,1746.8,1688.75,1731.1,82301
ABBOTINDIA,20210825,18925.3,19000,18712.05,18898.9,8637
ABCAPITAL,20210825,101.9,107.6,101.85,106.45,3519350
ABFRL,20210825,198.15,200.85,195.4,197.85,1779237
ABSLBANETF,20210825,360,360,354,354.33,126
ABSLNN50ET,20210825,404.2,404.2,401,401,82
ACC,20210825,2285.15,2305,2255.2,2267.35,339700
ACCELYA,20210825,1275,1298,1270.8,1287.2,21388
ACCURACY,20210825,105.85,115,105.85,111.95,34512
ACE,20210825,200.7,224.45,200.7,219.85,1476675
ACRYSIL,20210825,624.8,624.8,605,613.6,47008
ADANIENT,20210825,1444.25,1481.8,1425,1475.35,5361140
ADANIGREEN,20210825,954,997.15,954,997.15,2263117
ADANIPORTS,20210825,698.5,725,695.4,720.75,21275432
ADANIPOWER,20210825,81.1,81.1,79,81.1,1798861
ADANITRANS,20210825,1300.45,1300.45,1300.45,1300.45,84516
ADFFOODS,20210825,799,813,793,796.15,11881
ADL,20210825,35.55,38.85,35.55,38.8,1801
ADORWELD,20210825,685.95,688,660.3,664.05,3720
ADROITINFO,20210825,8.9,9.3,8.5,8.5,11398
ADSL,20210825,58.5,65.45,58.5,65.45,496162
ADVANIHOTR,20210825,70.25,73,68.45,69.75,24336
ADVENZYMES,20210825,371.35,380,368.45,369.5,134723
AEGISCHEM,20210825,272,275.5,268,269.5,313911
AFFLE,20210825,4074.9,4190,3919,3957.75,67534
AGARIND,20210825,293.95,302,290.6,294.25,11828
AGCNET,20210825,1000,1025,980,983.3,1585
AGRITECH,20210825,47.55,47.7,44.1,47.6,18522
AGROPHOS,20210825,15.9,16,15.4,15.75,19636
AHLADA,20210825,169.95,174.05,165.6,171.25,20227
AHLEAST,20210825,171.3,176.95,171.25,175.95,3162
AHLUCONT,20210825,375,375,368.6,369.95,10180
AHLWEST,20210825,265,288.6,265,276.6,509
AIAENG,20210825,1941,1948.65,1924.25,1937.9,81649
