20MICRONS,20210610,64,66.5,63.6,65.1,331271
21STCENMGM,20210610,17.25,17.45,17.25,17.45,773
3IINFOTECH,20210610,8.8,9.05,8.75,9.05,9033227
3MINDIA,20210610,25974,26073.7,25820,26023.65,2925
3PLAND,20210610,14,14,13.5,13.55,14411
5PAISA,20210610,379.65,387.15,367.45,374.35,60198
63MOONS,20210610,89.35,89.35,87,88.05,40927
A2ZINFRA,20210610,5.1,5.45,5.1,5.4,1708864
AAKASH,20210610,167,169.8,166.25,169.1,51454
AARON,20210610,82.8,82.8,79.85,81.65,5494
AARTIDRUGS,20210610,737.9,743.55,733.75,734.9,284287
AARTIIND,20210610,1839.95,1839.95,1805.75,1827.8,749809
AARTISURF,20210610,1386.05,1415,1369.9,1374.9,33450
AARVEEDEN,20210610,22.75,23.9,22.75,23.55,11755
AARVI,20210610,69.1,70.65,67.5,68.7,36394
AAVAS,20210610,2372,2495,2372,2478.25,67270
ABAN,20210610,50.95,51.8,48.2,49.05,487177
ABB,20210610,1680,1690,1660,1671.35,87950
ABBOTINDIA,20210610,16200,16247.9,16076.95,16106.15,14674
ABCAPITAL,20210610,126.2,127.9,124.8,126.55,2801466
ABFRL,20210610,205.4,210.8,204,208.2,2417643
ABMINTLTD,20210610,78.25,78.25,71.7,75.5,6728
ABSLBANETF,20210610,345.82,349,345,348.69,19287
ABSLNN50ET,20210610,395.5,395.5,392.25,395.5,262
ACC,20210610,2015,2037,2004.4,2030.3,364626
ACCELYA,20210610,1031,1235,1031,1203.9,928102
ACCURACY,20210610,85.4,89,80.3,85.8,57223
ACE,20210610,184.85,192.5,184.5,187.85,875367
ACRYSIL,20210610,518.1,536.85,516.35,526.15,95092
ADANIENT,20210610,1612,1630,1591,1612,5362307
ADANIGREEN,20210610,1250,1260,1208,1233.5,1367276
ADANIPORTS,20210610,858.55,863.95,843.3,846.75,11744190
ADANIPOWER,20210610,157.35,164,153,154.1,57693663
ADANITRANS,20210610,1597.1,1609.8,1570,1589.9,143589
ADFFOODS,20210610,994,1012,985.2,997.3,21152
ADL,20210610,32,33.55,30.6,31.75,4241
ADORWELD,20210610,579.2,608,579.2,600.05,70234
ADROITINFO,20210610,11.05,11.2,10.5,10.65,26669
ADSL,20210610,61.8,62.5,59.95,60.6,212264
ADVANIHOTR,20210610,68.3,68.3,65.1,65.75,21401
ADVENZYMES,20210610,412.35,416.95,410.15,412.75,168048
AEGISCHEM,20210610,370.9,386.2,370,376,1177921
AFFLE,20210610,5290,5344,5228,5237.6,22562
